address,hasOwner,Register Smart Contract Address,RegisterAccess Smart Contract Address,Token Address,TokenShop Address,TransferUSDCBasic Address,MintOnSepolia Transaction ID,Your transaction in the Bootcamp's WeatherFunctions
0x38803A378781aA035e180dD92E58215B95852bb3,false,false,false,true,false,false,false,false
0x2E5160bd5eE8280C2482D359AAeD26F892669b44,false,true,true,true,true,true,false,true
0x975f320b044417937E59f49E3F32E8E08ccC6213,false,true,false,true,true,true,true,true
0x93bD8d19f8e02B6dCc84Ee435c5aBDa31dadA722,false,false,true,false,true,true,true,true
0x59460FB115FFB4d341DbA9dbf30eadC6AE91f4B0,false,false,true,false,true,true,true,true
0xa5e1DEE9F9960AD724834de1Fa9B85b2a295c219,false,false,false,true,true,true,true,true
0x5ac7c4532948366d7b2bd36942B8c3C37039E64A,false,true,true,false,true,false,true,true
0x625A04b216D22Da27165F3622CDfC13CDebF9344,false,true,true,false,true,true,true,true
0x12c030eb7A133477f9243582F816D02A7738e189,false,false,true,true,true,true,true,true
0x188565E01ad217De0CaF6570a4b7b9Ae8110EcCE,false,true,false,true,true,true,true,true
0x7f949756cFf82c00305d1dCc425034d3f7bAB420,false,false,false,false,false,true,true,true
0x823c2FdB62E3Fa0B85F56a8a2aC148b01fd6413d,false,false,true,false,true,true,true,true
0x82B4663DD0C699E26063662EE9CE018B100E173f,false,true,false,true,true,true,false,false
0x26AdA64Ba35c767Cff27B376474df71A586B8273,false,true,false,true,true,true,true,true
0x6CE106E9935077f8D0D8Ea54549859A8Dd4D41c8,false,true,false,true,true,false,true,true
0xa547D666cD1E12ACc8A4cd3fd5029B03B7D604B7,false,true,false,true,true,true,true,true
0x4d0AfE33E3C0B4db9D6A5F4025D5828b842f5cD6,false,false,true,true,false,true,true,true
0x1e503c46cFB41F77856D3aD1b87f178f0C16a9E3,false,true,true,false,false,true,true,false
0x1BC784A8dd2a336cD972C1fb33BBd7d1871f6370,false,false,true,false,true,false,true,true
0xED5b9eB058EC3e72FbBF09569F47cc02f80DC895,false,true,true,false,true,true,true,true
0x32c1964D52477AE67C8b75588B87c9128244a538,false,true,false,false,true,true,false,false
0x45BFCaeb1A8E0A67ed7786a3c08A9972AD87d951,false,false,false,false,true,true,true,true
0xA8C4c5179f2E8CBB6ba92CDB3606713A50D553a9,false,false,true,true,false,true,true,true
0x2A773F368B6379a3678E39f7568c2816De3B9fa2,false,true,false,true,false,true,true,true
0x47c5c152DeB69853C0b02eFD55344ac7D2b4aEFB,false,false,true,true,false,true,true,true
0xa768a12deC2A1f0013f278fd09c62Bd872301dDa,false,true,true,true,true,true,true,true
0xFA6697386BcF23DB9De898D9646b17996595fC45,false,false,true,true,true,true,true,true
0x64152Cad1B8C54DCf8eAB66A140453aCF0bB8045,false,true,true,true,true,true,true,true
0x244b85AD097eD7fcE04B0675453E75ad5148Cbb1,false,true,false,true,false,true,true,true
0xae7341Fff01cc02FEa5F47F5463355C5cCe9A6Ec,false,true,true,true,false,true,true,true
0xB916Fb04568b1E504f36C5D999De0292037Fa968,false,false,true,true,true,true,true,true
0x782b04a40D7E122E90D7CAbabe150731E0A9b72C,false,false,true,true,true,true,true,true
0x6876ad124C9f433e41A658a1073EFdcAf1f06B00,false,true,true,true,true,true,true,true
0x7957e7f09C3Bc6575C9BDAa0f337827ED5D8e52E,false,true,true,false,true,true,true,true
0x27113D91967CA75D20b1d1e399DAD4fe46a4E1CB,false,true,false,true,false,true,true,true
0xf3474941a390103A539a7E7b9bdc759E35a0dAb4,false,false,true,false,false,true,false,false
0x975477028fe25Bc3AA9Eb31f2c752d71FA0cdDf1,false,true,false,false,false,true,false,true
0xfE5C71D00450EfFFa0699058b5f57DEA559802b9,false,false,false,false,false,false,false,false
0xec56892333a883Db3a1BE2E5F1aC0ba541b1D80F,false,true,false,true,true,true,true,true
0x0A18D6f88Ddd6b765652EC78deF78f00316eE77e,false,false,false,true,true,true,false,false
0xeA2C4889A4bbe52ecAcd19Eb64a747Eaa9505e2E,false,true,true,true,false,true,true,true
0xF3DBA5dE0835B3Dd68FBf54550fA561704aB29D3,false,true,false,false,false,true,true,false
0x09A9be326dfe1D62482B6464FB278C97dE2c5ccB,false,true,true,false,false,true,false,true
0xeF45ffD066857997f381BC4a1820f4eD21cf11e8,false,false,false,false,true,true,true,true
0xbC16a1b473f0d2bb6B438D4904e79Faf0aC42823,false,true,true,true,true,true,true,true
0xfca1A3fD2193D6468a3f2A8478f401aa270439B2,false,false,true,true,false,true,true,true
0x42431650A163D284351601503067F79Ba61A0e6F,false,false,false,true,true,true,true,true
0x7c8e6864f34c1Ce9e8D92e083f0937DB07581AB8,false,false,true,false,false,true,true,true
0x93Ec3d7B488C1ecBDc970799EEDCeE406ec16368,false,false,true,true,false,true,false,false
0xC846592bEb3a63F5AFe483B6E39b6FAfEdA2b808,false,true,false,false,true,true,false,true
0x5c2e2282a12F470519097447d5B1376A15e082CF,false,false,true,true,true,true,true,false
0x70fd8eBE1d83df843DD47cD68597307bB6091E57,false,true,false,false,true,true,true,true
0x6a2e459e2a47ae2B64CA2e57d9237F2b9FB0d38D,false,true,true,false,true,true,true,true
0x63e0c75EF821eb22e207880e322BdF588cF56dDc,false,false,true,true,true,true,true,true
0xc34F12015c92bCC828Cd82BC5d404A42B4BfEC4C,false,true,true,true,true,true,true,true
0x6b43272c074F3933108Bd423A51966647dB312EA,false,false,false,false,true,false,true,true
0x6aAF970a4c13a9a884dc77d6924d6Cfd83f7eaC8,false,false,true,false,false,true,true,true
0x4F33A7E5065a6652330208Fe1deF38E6494c8599,false,false,true,true,false,true,true,true
0x8Fe8031e4D72dd88b1Dd38C8CAf30CcFd1aE6B95,false,true,false,false,false,true,true,true
0x04D37f30F355fb64a19E2eD696775232E2C5357e,false,false,true,false,true,true,true,true
0xA49013707Ea405800ABb30B9497AF65f60b817b4,false,true,true,true,true,true,false,true
0x70ED537404AF811dC7eA0Af0259A95A3da9F406e,false,false,true,true,false,true,false,false
0x163B33C875Cd58ACaEB557fDc00e30E17F826730,false,true,true,false,true,true,true,true
0x018CB6e1216e167b6eF8Aa9a9Dd3d5681c51C808,false,true,true,true,false,true,true,true
0x34CAE4A61E0dD48fF0195A16ACa21b532B32b0ff,false,false,true,false,false,true,true,true
0x17dc88c01bF28e23e65b07714756920C85757499,false,true,false,true,false,true,false,false
0xf736F47d4a177fB6Cb98b43aCb8A929Ded8c376e,false,true,false,true,true,true,true,true
0x53E2c7e9848D51B3cc35664966cb0A5BDdeE5374,false,false,false,false,false,true,true,true
0x0fE2f2c37f2b45595Ea38fEd75E2436B8b2dDc6C,false,true,false,false,false,true,true,true
0xB2D401C1C3EB3f85Cb48D92E3aBff82A12c3CbaD,false,false,false,false,false,true,true,true
0x8B379959a471Ed51c8Bbd5Ea76D22665B4F72A98,false,false,false,false,false,true,true,true
0x2bc90dcF139394C8359d22CAC0aa5FD999EaB72A,false,false,false,false,false,true,true,true
0xDccbCf926A577a4015B7456f3706b4Bc23430b4a,false,false,false,false,false,true,true,true
0x08324f21Bece0eB4F96B441FCd1B5D252A700467,false,false,false,false,false,true,true,true
0x9818AfEA2292F2727060a2a921684A21f1AA3335,false,false,false,false,false,true,false,true
0x7A596aE1D886FE5F7e891078D8E671b0dEB0047C,false,false,false,false,false,true,true,true
0x0ACF67019F9d68F0C57AF0A0d5EC6B3453100C57,false,false,false,false,false,true,true,true
0x46efA6D7B7b5fc2F63CaA7855a3e6ab31cf8CD47,false,false,false,false,false,true,true,true
0x34F1AF42413326d1255bf02B5402737C10fFbC6a,false,false,false,false,false,true,true,true
0x1892459D3dc2Cd615B7Bd22Be4F9561aa0a0c79C,false,false,false,false,false,true,true,true
0x93f8E7eC7E054b476d7de8E6bB096e56CD575Beb,false,false,false,false,false,true,true,true
0x61858892e43778106fEF7841b20099550B93fc28,false,false,false,false,false,true,true,true
0x0a4a89f075aB2966E43d1B6cB22EFc7EA8208532,false,false,false,false,false,true,true,true
0x3886219455a4462435400C7f682a4D35cbAbc1DB,false,false,false,false,false,true,true,true
0x4eA616A8BC9ebb6Ff20DD8a0cf4133249A769a1E,false,false,false,false,false,true,true,true
0x6C631B3D59282189a59EA9735Fc4B052B97c6fB4,false,false,false,false,false,true,false,false
0x8ce43903Ba551300d7af1D081fCD55F613492C39,false,false,false,false,false,true,true,true
0x51F8723a825e5c7c770F9Df2cCf73433DF6C33D9,false,false,false,false,false,true,true,true
0x0a275092d029DE3e29C5a430D099d731E7C0b97b,false,false,false,false,false,true,false,false
0x26a1d44315Fa1298473Ae57c1c46f063b985705D,false,false,false,false,false,true,true,true
0xEDE3fcDD8a55CB932921D3Cbfc8a3341F913F235,false,false,false,false,false,true,true,true
0xCcEb1642181b6DBa9502670C62058f9366518839,false,false,false,false,false,true,true,true
0x703E64De43d0a24b5E84B75aFA907dfbBaF7f573,false,false,false,false,false,true,true,true
